Name,Type,Alignment,Armor Class,HP,Speed,Str,Dex,Con,Int,Wis,Cha,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,Challenge,Traits,Actions,Legendary Actions,Intro,MetaTitle,MetaDescription,Source
Arkhan the Cruel,Medium humanoid,Lawful Evil,23 ( obsidian flint dragon plate|bgdia}),221 (26d8 + 104),40ft.,20,12,18,10,10,18,"Wis: +5, Cha: +9","athletics: +10, deception: +9, intimidation: +9",None,"fire, poison; and bludgeoning, piercing and slashing from nonmagical attacks",None,frightened,"darkvision 60 ft. (can see invisible creatures out to the same range), passive perception 10","Common, Draconic",16,"
Aura of Hate: While Arkhan isn't incapacitated, he and all fiends and undead within 30 feet of him deal 4 extra damage whenever they hit with a melee weapon attack (already factored into Arkhan's attacks). This extra damage is of the same type as the weapon's damage type.
Hand of Vecna: The Hand of Vecna has 8 charges and regains 1d4 + 4 expended charges daily at dawn. Arkhan can cast the following spells from the hand by expending the specified number of charges (spell save {@dc 18): finger of death (5 charges), sleep (1 charge), slow (2 charges), and teleport (3 charges).
Special Equipment: Arkhan wields Fane-Eater and wears a suit of Obsidian Flint Dragon Plate. The armor gives Arkhan advantage on ability checks and saving throws made to avoid or end the grappled condition on him.","
Multiattack: Arkhan makes three weapon attacks.
Fane-Eater (Battleaxe): Melee Weapon Attack: +13 to hit, reach 5 ft., one target. Hit: 16 (1d8 + 12) slashing damage, or 17 (1d10 + 12) slashing damage when used with two hands, plus 9 (2d8) cold damage. If the target is a creature and Arkhan rolls a 20 on the attack roll, the creature takes an extra 9 (2d8) necrotic damage, and Arkhan regains an amount of hit points equal to the necrotic damage dealt.
Javelin: Melee or Ranged Weapon Attack: ++10 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 8 (1d6 + 5) piercing damage, plus 4 piercing damage and 9 (2d8) cold damage if the javelin was used to make a melee",None,not in this JSON,Arkhan the Cruel - Monsters | DnD Wiki,"Arkhan the Cruel is a CR 16, Lawful Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Bel,Large fiend,Lawful Evil,19 (natural armor),364 (27d10 + 216),"30ft., fly 60ft.",28,14,26,25,19,26,"Dex: +10, Con: +16, Wis: +12","arcana: +14, deception: +15, insight: +11, persuasion: +15",None,"cold; and bludgeoning, piercing and slashing from nonmagical attacks that arent silvered","fire, poison",poisoned,"truesight 120 ft., passive perception 14","Common, Infernal, telepathy 120 ft.",25,"
Fear Aura: Any creature hostile to Bel that starts its turn within 20 feet of him must make a {@dc 23 Wisdom saving throw, unless Bel is incapacitated. Unless the save succeeds, the creature is frightened until the start of its next turn. If a creature's saving throw is successful, the creature is immune to Bel's Fear Aura for the next 24 hours.
Legendary Resistance (3/Day): If Bel fails a saving throw, he can choose to succeed instead.
Magic Resistance: Bel has advantage on saving throws against spells and other magical effects.
Magic Weapons: Bel's weapon attacks are magical.","
Multiattack: Bel makes three attacks: two with his greatsword and one with his tail.
Greatsword: Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 23 (4d6 + 9) slashing damage plus 21 (6d6) fire damage. If the target is a flammable object that is not being held or worn, it catches fire.
Tail: Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 25 (3d10 + 9) bludgeoning damage. If the target is a creature, it must succeed on a DC: 23 Constitution saving throw or be stunned until the end of its next turn.","
Multiattack: Bel makes three attacks: two with his greatsword and one with his tail.
Greatsword: Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 23 (4d6 + 9) slashing damage plus 21 (6d6) fire damage. If the target is a flammable object that is not being held or worn, it catches fire.
Tail: Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 25 (3d10 + 9) bludgeoning damage. If the target is a creature, it must succeed on a DC: 23 Constitution saving throw or be stunned until the end of its next turn.",not in this JSON,Bel - Monsters | DnD Wiki,"Bel is a CR 25, Lawful Evil, fiend, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Bitter Breath,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Bitter Breath - Monsters | DnD Wiki,"Bitter Breath is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Black Gauntlet of Bane,Medium humanoid,Lawful Evil,16 ( chain mail),51 (6d8 + 24),30ft.,18,11,18,12,15,18,Wis: +5,"intimidation: +7, perception: +5",None,None,None,frightened,passive perception 15,Common,6,"
Aura of Terror: When a hostile creature within 5 feet of the black gauntlet makes an attack roll or a saving throw, it has disadvantage on the roll. Creatures that are immune to the frightened condition are immune to this trait.
Tactical Discipline: The black gauntlet has advantage on all ability checks and saving throws made during combat.","
Multiattack: The black gauntlet makes two attacks with its mace.
Mace: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage plus 13 (3d8) necrotic damage.
Guiding Bolt (1st-Level Spell; Requires a Spell Slot): {@atk rs +7 to hit, range 120 ft., one creature. Hit: 14 (4d6) radiant damage, and the next attack roll made against the target before the end of the black gauntlet's next turn has advantage. If the black gauntlet casts this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",None,not in this JSON,Black Gauntlet of Bane - Monsters | DnD Wiki,"Black Gauntlet of Bane is a CR 6, Lawful Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Bone Whelk,Large monstrosity,Unaligned,12 (natural armor),27 (5d10),15ft.,10,5,11,6,9,3,None,None,None,None,None,None,"darkvision 60 ft., passive perception 9",error,1/4,"
Adhesive: The bone whelk can cause Medium or smaller objects to adhere to it. A Medium or smaller creature that touches the bone whelk is grappled by it (escape {@dc 10).
Death Scream: When the bone whelk dies, it emits a blood-curdling shriek than can be heard out to a range of 120 feet. This shriek causes nonmagical, organic material within 10 feet of the bone whelk to rot. Each creature within 10 feet of the bone whelk when it dies takes 9 (2d8) necrotic damage.
Spider Climb: The bone whelk can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","
Bite: Melee Weapon Attack: +2 to hit, reach 5 ft., one creature. Hit: 4 (1d8) piercing damage.",None,not in this JSON,Bone Whelk - Monsters | DnD Wiki,"Bone Whelk is a CR 1/4, Unaligned, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Burney the Barber,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Burney the Barber - Monsters | DnD Wiki,"Burney the Barber is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Chukka,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,"
Silvered Pike: Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 5 (1d10) piercing damage.",None,not in this JSON,Chukka - Monsters | DnD Wiki,"Chukka is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Clonk,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,"
Hellfire Warhammer: Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 4 (1d8) bludgeoning damage, or 5 (1d10 + 1) bludgeoning damage if used with two hands to make a melee attack.",None,not in this JSON,Clonk - Monsters | DnD Wiki,"Clonk is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Crokek'toeck,Gargantuan fiend,Chaotic Evil,15 (natural armor),297 (17d20 + 119),"60ft., swim 60ft.",28,10,24,6,10,13,"Con: +12, Wis: +5",None,None,"cold, fire, lightning; and bludgeoning, piercing and slashing from nonmagical attacks",poison,"charmed, frightened, poisoned","darkvision 120 ft., passive perception 10","""understands Abyssal but cant speak""",14,"
Amphibious: Crokek'toeck can breathe air and water.
Magic Resistance: Crokek'toeck has advantage on saving throws against spells and other magical effects.
Magic Weapons: Crokek'toeck's weapon attacks are magical.
Secure Memory: Crokek'toeck is immune to the waters of the River Styx as well as any effect that would steal or modify its memories or detect or read its thoughts.
Standing Leap: Crokek'toeck's long jump is up to 60 feet and its high jump is up to 30 feet, with or without a running start.","
Bite: Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 44 (10d6 + 9) piercing damage.
Disgorge Allies  - Recharge : Crokek'toeck opens its mouth and disgorges 1d4 barlguras, 3d6 gnolls led by 1 gnoll fang of Yeenoghu, 6d6 dretches, or 1d3 vrocks. Each creature it disgorges appears in an unoccupied space within 30 feet of Crokek'toeck's mouth, or the next closest unoccupied space.",None,not in this JSON,Crokek'toeck - Monsters | DnD Wiki,"Crokek'toeck is a CR 14, Chaotic Evil, fiend, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Death's Head of Bhaal,Medium humanoid,Chaotic Evil,15,76 (8d8 + 40),50ft.,20,20,20,14,13,16,None,"intimidation: +6, perception: +4, persuasion: +6, stealth: +11",None,None,None,None,"darkvision 60 ft., passive perception 14",Common,5,"
Aura of Murder: As long as the death's head is not incapacitated, hostile creatures within 5 feet of it gain vulnerability to piercing damage unless they have resistance or immunity to such damage.
Magic Resistance: The death's head has advantage on saving throws against spells and other magical effects.","
Multiattack: The death's head uses Stunning Gaze and makes two dagger attacks.
Dagger: Melee or Ranged Weapon Attack: ++7 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 7 (1d4 + 5) piercing damage.
Stunning Gaze: The death's head targets one creature it can see within 30 feet of it. The target must succeed on a DC: 14 Wisdom saving throw or be stunned until the end of its next turn.",None,not in this JSON,Death's Head of Bhaal - Monsters | DnD Wiki,"Death's Head of Bhaal is a CR 5, Chaotic Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Dryad Spirit,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Dryad Spirit - Monsters | DnD Wiki,"Dryad Spirit is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Duke Thalamra Vanthampur,Medium humanoid,Lawful Evil,10,78 (12d8 + 24),30ft.,17,10,15,13,16,18,None,"deception: +6, insight: +5, intimidation: +6, religion: +3",None,None,None,None,"""darkvision 120 ft. (see devils sight below)"", passive perception 13","Common, Infernal",4,"
Dark Devotion: Thalamra has advantage on saving throws against being charmed or frightened.
Devil's Sight: Thalamra can see normally in darkness, both magical and nonmagical, out to a distance of 120 feet.","
Multiattack: Thalamra uses eldritch blast twice or makes two unarmed strikes.
Eldritch Blast (Cantrip): {@atk rs +6 to hit, range 120 ft., one creature. Hit: 9 (1d10 + 4) force damage.
Unarmed Strike: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 4 bludgeoning damage.",None,not in this JSON,Duke Thalamra Vanthampur - Monsters | DnD Wiki,"Duke Thalamra Vanthampur is a CR 4, Lawful Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Elliach,NOT FOUND humanoid,Lawful Evil,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,"
Dagger: Melee or Ranged Weapon Attack: ++5 to hit, reach 10 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",None,not in this JSON,Elliach - Monsters | DnD Wiki,"Elliach is a CR NOT FOUND, Lawful Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Feonor,NOT FOUND humanoid,Neutral Evil,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Feonor - Monsters | DnD Wiki,"Feonor is a CR NOT FOUND, Neutral Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Fiendish Flesh Golem,Large construct,Unaligned,12 (natural armor),210 (20d10 + 100),"30ft., fly {'number': 30, 'condition': '(hover)'}ft.",20,9,20,7,10,5,None,None,None,"cold, fire","lightning, poison; and bludgeoning, piercing and slashing from nonmagical attacks that arent adamantine or silvered","charmed, exhaustion, frightened, paralyzed, petrified, poisoned","darkvision 60 ft., passive perception 10","""understands the languages of its creator but cant speak""",8,"
Berserk: Whenever the golem starts its turn with 100 hit points or fewer, roll a d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack, the golem attacks an object, with preference for an object smaller than itself. Once the golem goes berserk, it continues to do so until it is destroyed or regains all its hit points. If the golem's creator is within 60 feet of the berserk golem, the creator can try to calm it by speaking firmly and persuasively. The golem must be able to hear its creator, who must take an action to make a {@dc 15 Charisma (Persuasion) check. If the check succeeds, the golem ceases being berserk. If it takes damage while still at 100 hit points or fewer, the golem might go berserk again.
Immutable Form: The golem is immune to any spell or effect that would alter its form.
Lightning Absorption: Whenever the golem is subjected to lightning damage, it takes no damage and instead regains a number of hit points equal to the lightning damage dealt.
Magic Resistance: The golem has advantage on saving throws against spells and other magical effects.
Magic Weapons: The golem's weapon attacks are magical.","
Multiattack: The golem makes two slam attacks.
Slam: Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 16 (2d10 + 5) bludgeoning damage.",None,not in this JSON,Fiendish Flesh Golem - Monsters | DnD Wiki,"Fiendish Flesh Golem is a CR 8, Unaligned, construct, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
Fist of Bane,Medium humanoid,Lawful Evil,18 ( chain mail),22 (4d8 + 4),30ft.,16,11,13,10,12,11,None,None,None,None,None,frightened,passive perception 11,Common,1/2,"
Tactical Discipline: The fist of Bane has advantage on all ability checks and saving throws made during combat.","
Mace: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage.
Longbow: Ranged Weapon Attack: +2 to hit, range 150/600 ft., one target. Hit: 4 (1d8) piercing damage.",None,not in this JSON,Fist of Bane - Monsters | DnD Wiki,"Fist of Bane is a CR 1/2, Lawful Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-bgdia.json
